Ksband logP
-25.0375	-inf
-24.7125	-inf
-24.3875	-inf
-24.0625	-inf
-23.737499999999997	-inf
-23.4125	-inf
-23.0875	-inf
-22.7625	-0.7983958333813962
-22.4375	-0.9150863015470238
-22.112499999999997	-1.35659607811934
-21.7875	-0.8422487638452871
-21.4625	-0.782269638009563
-21.137499999999996	-1.107341962263488
-20.8125	-0.9774768590336577
-20.487499999999997	-0.9957722978023527
-20.1625	-1.4424300387272613
-19.8375	-1.8412733485431436
-19.512499999999996	-2.083713537127682
-19.1875	-2.1416615121752325
-18.862499999999997	-2.352835763045532
-18.5375	-2.2174067505117696
-18.2125	-2.500848073564008
-17.887499999999996	-2.618931107738096
-17.5625	-inf
