logMsmin    logMsmax    logSFRmin    logSFRmax    Prob
7.0  7.229166666666667  -5.5  -5.166666666666667  0.0
7.0  7.229166666666667  -5.166666666666667  -4.833333333333333  0.0
7.0  7.229166666666667  -4.833333333333333  -4.5  0.0
7.0  7.229166666666667  -4.5  -4.166666666666667  0.0
7.0  7.229166666666667  -4.166666666666667  -3.8333333333333335  0.0
7.0  7.229166666666667  -3.8333333333333335  -3.5  0.0
7.0  7.229166666666667  -3.5  -3.166666666666667  1.830809731518871e-06
7.0  7.229166666666667  -3.166666666666667  -2.8333333333333335  3.876326253400243e-06
7.0  7.229166666666667  -2.8333333333333335  -2.5  6.905726150471546e-06
7.0  7.229166666666667  -2.5  -2.166666666666667  6.131134402365386e-06
7.0  7.229166666666667  -2.166666666666667  -1.8333333333333335  1.555843012065854e-05
7.0  7.229166666666667  -1.8333333333333335  -1.5  1.423655645772669e-05
7.0  7.229166666666667  -1.5  -1.166666666666667  3.249632877051857e-05
7.0  7.229166666666667  -1.166666666666667  -0.8333333333333339  2.3823821312203474e-05
7.0  7.229166666666667  -0.8333333333333339  -0.5  2.2302151013959734e-05
7.0  7.229166666666667  -0.5  -0.16666666666666696  8.486969225985846e-06
7.0  7.229166666666667  -0.16666666666666696  0.16666666666666607  0.0
7.0  7.229166666666667  0.16666666666666607  0.5  3.829732624985512e-07
7.0  7.229166666666667  0.5  0.833333333333333  0.0
7.0  7.229166666666667  0.833333333333333  1.166666666666666  0.0
7.0  7.229166666666667  1.166666666666666  1.5  0.0
7.0  7.229166666666667  1.5  1.833333333333333  0.0
7.0  7.229166666666667  1.833333333333333  2.166666666666666  0.0
7.0  7.229166666666667  2.166666666666666  2.5  0.0
7.229166666666667  7.458333333333333  -5.5  -5.166666666666667  0.0
7.229166666666667  7.458333333333333  -5.166666666666667  -4.833333333333333  0.0
7.229166666666667  7.458333333333333  -4.833333333333333  -4.5  0.0
7.229166666666667  7.458333333333333  -4.5  -4.166666666666667  0.0
7.229166666666667  7.458333333333333  -4.166666666666667  -3.8333333333333335  0.0
7.229166666666667  7.458333333333333  -3.8333333333333335  -3.5  0.0
7.229166666666667  7.458333333333333  -3.5  -3.166666666666667  3.5302638145420237e-06
7.229166666666667  7.458333333333333  -3.166666666666667  -2.8333333333333335  5.9159461574142635e-06
7.229166666666667  7.458333333333333  -2.8333333333333335  -2.5  7.497503121909575e-06
7.229166666666667  7.458333333333333  -2.5  -2.166666666666667  1.0779866864233332e-05
7.229166666666667  7.458333333333333  -2.166666666666667  -1.8333333333333335  1.3297690989741894e-05
7.229166666666667  7.458333333333333  -1.8333333333333335  -1.5  1.4742314043108015e-05
7.229166666666667  7.458333333333333  -1.5  -1.166666666666667  3.593950083544562e-05
7.229166666666667  7.458333333333333  -1.166666666666667  -0.8333333333333339  3.8577637114198536e-05
7.229166666666667  7.458333333333333  -0.8333333333333339  -0.5  3.706061620400805e-05
7.229166666666667  7.458333333333333  -0.5  -0.16666666666666696  1.575459033291198e-05
7.229166666666667  7.458333333333333  -0.16666666666666696  0.16666666666666607  8.82951280654024e-06
7.229166666666667  7.458333333333333  0.16666666666666607  0.5  0.0
7.229166666666667  7.458333333333333  0.5  0.833333333333333  0.0
7.229166666666667  7.458333333333333  0.833333333333333  1.166666666666666  0.0
7.229166666666667  7.458333333333333  1.166666666666666  1.5  0.0
7.229166666666667  7.458333333333333  1.5  1.833333333333333  0.0
7.229166666666667  7.458333333333333  1.833333333333333  2.166666666666666  0.0
7.229166666666667  7.458333333333333  2.166666666666666  2.5  0.0
7.458333333333333  7.6875  -5.5  -5.166666666666667  0.0
7.458333333333333  7.6875  -5.166666666666667  -4.833333333333333  0.0
7.458333333333333  7.6875  -4.833333333333333  -4.5  0.0
7.458333333333333  7.6875  -4.5  -4.166666666666667  0.0
7.458333333333333  7.6875  -4.166666666666667  -3.8333333333333335  0.0
7.458333333333333  7.6875  -3.8333333333333335  -3.5  0.0
7.458333333333333  7.6875  -3.5  -3.166666666666667  5.145272253853386e-06
7.458333333333333  7.6875  -3.166666666666667  -2.8333333333333335  8.391695332366897e-06
7.458333333333333  7.6875  -2.8333333333333335  -2.5  1.1866724539128104e-05
7.458333333333333  7.6875  -2.5  -2.166666666666667  9.873680602358148e-06
7.458333333333333  7.6875  -2.166666666666667  -1.8333333333333335  1.5665026673482047e-05
7.458333333333333  7.6875  -1.8333333333333335  -1.5  3.899841372814901e-05
7.458333333333333  7.6875  -1.5  -1.166666666666667  4.353900860236629e-05
7.458333333333333  7.6875  -1.166666666666667  -0.8333333333333339  5.276585233765745e-05
7.458333333333333  7.6875  -0.8333333333333339  -0.5  5.701823536338594e-05
7.458333333333333  7.6875  -0.5  -0.16666666666666696  5.7511884104710366e-05
7.458333333333333  7.6875  -0.16666666666666696  0.16666666666666607  1.1101981184150673e-05
7.458333333333333  7.6875  0.16666666666666607  0.5  0.0
7.458333333333333  7.6875  0.5  0.833333333333333  0.0
7.458333333333333  7.6875  0.833333333333333  1.166666666666666  0.0
7.458333333333333  7.6875  1.166666666666666  1.5  0.0
7.458333333333333  7.6875  1.5  1.833333333333333  0.0
7.458333333333333  7.6875  1.833333333333333  2.166666666666666  0.0
7.458333333333333  7.6875  2.166666666666666  2.5  0.0
7.6875  7.916666666666667  -5.5  -5.166666666666667  0.0
7.6875  7.916666666666667  -5.166666666666667  -4.833333333333333  0.0
7.6875  7.916666666666667  -4.833333333333333  -4.5  0.0
7.6875  7.916666666666667  -4.5  -4.166666666666667  0.0
