Ksband logP
-25.0375	-inf
-24.7125	-inf
-24.3875	-0.6694865496466402
-24.0625	-0.46890427300388804
-23.737499999999997	-0.8221620802931208
-23.4125	-1.1791539315754958
-23.0875	-1.1887825374482368
-22.7625	-1.26574617712315
-22.4375	-1.4863634596382738
-22.112499999999997	-1.7051399075048754
-21.7875	-1.8134865750630258
-21.4625	-1.9526615734415118
-21.137499999999996	-2.1173426138119704
-20.8125	-2.207681348948048
-20.487499999999997	-2.305773957750275
-20.1625	-2.381959531774248
-19.8375	-2.681220397188558
-19.512499999999996	-2.715938397778808
-19.1875	-2.889159796133656
-18.862499999999997	-2.9107609898601616
-18.5375	-3.0491975833519693
-18.2125	-3.197529845704223
-17.887499999999996	-3.379100627642348
-17.5625	-3.684915331851353
